"","Rho","N","P","p.adj"
"10121at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0266083731098546,87,0.763802661382271,0.942354345836886
"10124at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0306890491220504,114,0.690772883593647,0.921292276349695
"10125at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.101438789417278,95,0.230827906654537,0.669384709505431
"10127at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.132593462405244,86,0.136602857229307,0.55959532746347
"10139at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0671025728798792,110,0.393023235286412,0.78815173957344
"1013at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0337711112501824,95,0.689955344224487,0.920655364945946
"10142at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0906200821862994,117,0.23393434865747,0.671257945833834
"10145at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.101569982251444,106,0.204539994708124,0.639698975501924
"10146at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0899618324321687,102,0.270500846392173,0.705613270081591
"10149at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0821353920014904,99,0.321760295251866,0.73807147926651
"1014at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0381913743432947,94,0.653649243401927,0.906777144640427
"10150at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0369304668791163,120,0.623170212264189,0.898912770401591
"10151at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.152802142306723,55,0.172918685450791,0.599250425470483
"10153at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.038479374870871,114,0.617928444307709,0.897252515543373
"10157at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0325407013309143,96,0.69916950185064,0.923396308438794
"10160at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0942756672800194,111,0.227981583666385,0.667587327955828
"10163at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0795036070224153,119,0.292198808060472,0.723532368171407
"10164at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0299658013809152,104,0.710867620294164,0.929813199880664
"10173at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0540939550193386,106,0.499234950234601,0.839280234469422
"10174at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.236717614762141,100,0.00410032595491074,0.181656122158321
"10178at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0856603155674333,101,0.296501625597726,0.727594888405557
"10179at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0280543161578027,89,0.748571225324168,0.940022494917862
"10180at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.227464345409811,86,0.0106606381513139,0.23951938729208
"10181at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.147218964531864,95,0.0820348198083186,0.467918587790822
"10183at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0513826920371604,97,0.539586529060983,0.851674732160826
"10186at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.020108576148862,79,0.828875651079667,0.96256097256935
"10188at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.056403701543505,84,0.531553029384201,0.849518883555684
"10189at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0396961296332297,91,0.646439682903843,0.904184758431293
"10192at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0755928946018454,100,0.359348232112991,0.76565953444553
"10193at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.128009205813018,98,0.124471661928538,0.543938782672415
"10206at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.202543361474084,87,0.0221758521487011,0.306517143215312
"10208at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.071781367078633,93,0.401613643419741,0.791283499616875
"1020at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0928119291183164,99,0.262865379710253,0.703462732587522
"10212at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0481196541480602,101,0.557575205263434,0.86191283843732
"10214at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.124488312239003,97,0.137221343523227,0.561159021098935
"10215at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.121113452471013,108,0.126682776085004,0.546289593853352
"10219at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.189059990976739,96,0.0247547053527241,0.315906428971445
"10220at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.00171961195058133,83,0.984874962427825,0.995767187183718
"10224at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0862243510139594,103,0.288509812171812,0.722222536384094
"10225at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.251724419485245,111,0.00128642404077359,0.121419886859594
"10235at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.121121038682887,114,0.116408138558421,0.533702709478978
"10239at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0945555241273313,90,0.277259647343555,0.713316076797114
"10240at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0967818120281203,100,0.240581067471867,0.677152745944521
"10243at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0149643524784362,131,0.83509407069088,0.963546317920358
"10244at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.072013216349321,119,0.340046587914074,0.751096219113689
"10250at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0437299155757922,101,0.594069549048886,0.886546493210074
"10255at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0100483276826835,100,0.903024303852363,0.981579520407764
"10259at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.183429844445323,106,0.0219493115762295,0.306517143215312
"10261at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.00628796064909011,81,0.945419570303651,0.988000195669407
"10267at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0464978021487958,105,0.563256389147692,0.86616211229168
"10268at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.211999898070382,97,0.0113742417590914,0.240343119345748
"10269at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.087333383405143,98,0.294587531268419,0.725446410670622
"1026at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0889738228875082,121,0.234515709290122,0.672082324241471
"10270at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.071052021050256,92,0.409003509255906,0.795660891191031
"1027at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0266444018132398,95,0.752964696900648,0.940221107023753
"10285at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0459018130713576,93,0.591717836219954,0.885486193274413
"10289at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.039726691215259,101,0.628272544606912,0.900443655773303
"10291at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.209134903916634,76,0.0275412556219025,0.330560825695675
"10292at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0214035810120713,93,0.802514540639941,0.956936525051611
"10294at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0817842719482502,89,0.350100175668619,0.758439764446093
"10299at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.139397493905967,112,0.0733354645361353,0.458578415277203
"10304at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.11534301784381,121,0.123284236292873,0.541789242426874
"10308at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0153460318425983,97,0.854632918759147,0.969374864591107
"10316at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.116342963946356,100,0.158325428174537,0.58671307830041
"10318at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.024137550338669,70,0.807364191805237,0.958561485906946
"10319at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0330372421233648,103,0.68424397435445,0.918285145852669
"10326at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0337250905233173,87,0.703306545027174,0.925925753836179
"1032at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.140112732334498,102,0.086127254663983,0.478243326827448
"10333at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0108184417768379,114,0.888475173759369,0.978362684756992
"10334at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.158389712258625,88,0.0719876285630118,0.456907604015553
"10335at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.143942175648404,80,0.119418475126394,0.536905907466104
"10341at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0644613586411731,86,0.469264694667712,0.824457863870926
"10345at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0095259860157626,107,0.904831139275836,0.981579520407764
"10346at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0731284628929117,114,0.343166720607032,0.752439744118358
"10347at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.173339201128932,64,0.0945169351129903,0.491624458646198
"10351at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.139815302327624,100,0.0900106173516783,0.483486699883824
"10352at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0105046260842877,85,0.906680501553333,0.98209397454983
"10359at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.169863341971258,99,0.0404464446846526,0.372743344059571
"10360at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.038829013735766,65,0.705763485418779,0.927557473217148
"10368at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0049521716854385,97,0.952854865242642,0.989893007858338
"10369at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0992811251886169,93,0.246020758179136,0.684427400922708
"10374at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0600751409186111,96,0.475579092593334,0.830038958474277
"10377at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.154628791728936,102,0.0582260648005989,0.42724312978038
"10379at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.00869520478615395,93,0.919073585672775,0.985434157139791
"1037at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.28374899125336,99,0.000619274478100317,0.102256124742619
"10386at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0490658404174705,103,0.545852924139054,0.856652992545082
"10387at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.00527995072995412,84,0.953297882190186,0.989893007858338
"1038at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0306504752115831,111,0.695094495393735,0.922928412561784
"10391at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0183226745904664,103,0.821553979795347,0.961426446838691
"10392at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.220244014673418,89,0.0118589485922796,0.240343119345748
"10396at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0132683285896491,106,0.868364507273096,0.973308452789969
"10397at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0568929428683913,107,0.47518777456161,0.829999760556339
"10398at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0197024235588876,87,0.823923564140792,0.961850143559983
"103at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0183934475242935,71,0.851532592133387,0.969374864591107
"10401at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.00402881152612989,119,0.957432286324987,0.989893007858338
"10406at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0498306199019437,100,0.545693932930661,0.856652992545082
"10410at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.17548641821843,95,0.0381811868375037,0.367029778025842
"10414at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0342539335582574,110,0.662823841669294,0.909691016152141
"10415at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0943772682872301,89,0.280912622383258,0.716147014452802
"10423at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0962192351471332,83,0.288802621415944,0.722262138090914
"10424at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.177674095020335,98,0.0329810859020548,0.349783163940353
"10425at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.106058967474881,66,0.298617012195922,0.729544822419861
"10428at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.160913742267743,105,0.0454668768890125,0.386299431709435
"10429at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.019895966183199,99,0.810317379447291,0.959276699327551
"10431at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0544974077253194,106,0.496040091217931,0.837412097046263
"10432at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0784483023227457,118,0.300725357649221,0.730097645083309
"10437at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.12672428274337,78,0.175969254872868,0.603746557310424
"10444at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0490280909457089,108,0.536394600193755,0.850701666194277
"10447at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.127133504557649,100,0.123178717009506,0.541789242426874
"10452at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.00222181081386505,74,0.981575283128695,0.994643160884536
"10457at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.238235282458835,123,0.00132843184407205,0.121445239185067
"10459at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0285708188670214,109,0.717359174245862,0.932390555028644
"10460at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0179807311760952,102,0.825684664596528,0.962006512123972
"10462at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0555210458773592,121,0.458187993704407,0.815343059597535
"10474at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.129354846477217,110,0.0996493947020591,0.501688070877801
"10476at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.027399667234597,111,0.726053273469543,0.93259406617596
"10479at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0226513674012909,117,0.766067025611925,0.942413208819233
"1047at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0176392785047633,83,0.845814838625758,0.969118348625268
"10480at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.11282247930956,119,0.134982783766942,0.558268413896897
"10482at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.116717597087873,98,0.161286294101905,0.589483993468428
"10489at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0258943643739608,116,0.73488234789481,0.937382426063476
"10494at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0589875157040774,85,0.51036313953074,0.842799823264094
"10506at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.157968374254132,87,0.0744313789580051,0.458655223553472
"10508at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.078857475623504,77,0.402843985984343,0.791397649925346
"1050at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0397508144791259,98,0.633319424450271,0.900716580324265
"10511at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0791588898098242,92,0.357649548657894,0.76357593970819
"10513at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0773683121725554,101,0.345727926289479,0.753641338106525
"10516at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.125863053341791,107,0.114173736927377,0.529646753672611
"10517at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0539314626410804,118,0.476801468257746,0.8305412345229
"10521at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0493250579023576,74,0.608164019255212,0.892545047658817
"10527at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0851718264032227,88,0.333297953550238,0.746424073723978
"10528at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0472255450746073,96,0.574910859085687,0.874006094743018
"10529at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.197657724877172,102,0.0154762650730503,0.257243664177865
"10530at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0890216460193526,107,0.26386124298774,0.703462732587522
"10533at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.135986514402783,125,0.0647131507645888,0.441346948913139
"10536at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.168884300595687,86,0.0579625624798661,0.42724312978038
"10538at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.03437243993302,119,0.648831431431567,0.905784955332163
"1053at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0586867631348697,92,0.495264224627893,0.837223657830657
"10541at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0658325694096567,93,0.441755014691184,0.807581698078869
"10543at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0519105062768008,111,0.506806128409396,0.842425999131747
"10546at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0397207125267006,67,0.694837054397241,0.922928412561784
"10547at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0227651901610965,99,0.783600724410618,0.947075333495752
"10549at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.113253244134524,104,0.161215252007946,0.589483993468428
"10550at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0403527516072447,107,0.612528380348712,0.893669718025522
"10556at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.00345272260481845,115,0.964143039933127,0.990253555926243
"10558at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0677924877419347,121,0.365043623152687,0.771477201177868
"10559at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.00965335258973701,110,0.902204207401802,0.981579520407764
"10562at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0098604603753666,97,0.906289301447476,0.98209397454983
"10565at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0601868500450812,96,0.474758824458351,0.829999760556339
"10568at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.113382997724047,116,0.138131211847329,0.56224200298677
"10571at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.13397971744924,99,0.10603481579165,0.514195337838281
"10573at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0322991720351741,117,0.671386284894071,0.913093337771735
"1057at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.113018050034252,87,0.201840989397415,0.637605502788933
"10580at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0555852564694952,52,0.630115661534355,0.900443655773303
"10581at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0602202687766066,89,0.491437851561934,0.83650996278895
"10582at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.258196277569324,80,0.00521794491577609,0.19575686924423
"10583at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.20432162447167,123,0.00590800528428163,0.198404872638842
"10586at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.14714961945799,93,0.0855420581784897,0.477427042654306
"10588at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0906877231663638,93,0.289300363386944,0.722264771516958
"1058at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0414165651291756,103,0.610173569205238,0.893261619671711
"10593at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.019672967949055,89,0.822161324713389,0.961426446838691
"10601at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.229910533973651,97,0.00605451729856168,0.198404872638842
"10603at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0766212249622424,91,0.375937371124515,0.781450533610804
"10609at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.158393649496046,115,0.0391774190136709,0.36924777899866
"10613at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0307650749288658,91,0.722207663472542,0.932390555028644
"10619at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.173238895623585,119,0.0217233720105879,0.30647386870493
"10620at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.123483462362741,103,0.128499656396434,0.54971848209667
"10626at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.00684215308539119,87,0.938409460924905,0.987267597591044
"10628at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0970074901462175,92,0.259632638455741,0.700426246229418
"10633at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0472545330069752,67,0.640709749169461,0.90283195925816
"10635at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.16526725762746,92,0.0547996425641425,0.41858647822594
"10636at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.162844641223004,116,0.0332022009998829,0.35061265508351
"10646at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.150407357889516,74,0.117965933909185,0.536647478144349
"10648at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.121231354309271,73,0.210813528640927,0.648209737261345
"10650at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.080155297097871,98,0.336067303042036,0.747161304574488
"10651at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.132386419164706,92,0.123956962661789,0.54324762830972
"10659at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.135433606427539,117,0.075255177787159,0.458655223553472
"1065at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0623981298402662,102,0.444693199660669,0.808209877442251
"10660at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0148903964501811,62,0.887632894096406,0.978317995431942
"10661at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.00508821034784853,80,0.956101720664548,0.989893007858338
"10662at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.155459435229759,91,0.0724258582582136,0.457263257041843
"10663at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.085995612580667,100,0.297065611309449,0.7280894956008
"10666at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.166344640326112,71,0.0905226849591028,0.483623241193068
"10667at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0224694687657754,111,0.773856471892474,0.945035041095145
"10669at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0186979002763832,92,0.827993319270309,0.96206341189237
